,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,23.03,83.0,75.0,23.03,CK,1663067551.0
1,faridpur,23.6,89.8333,26.28,86.0,100.0,26.28,BD,1663067462.0
2,busselton,-33.65,115.3333,12.34,54.0,87.0,12.34,AU,1663067552.0
3,hualmay,-11.0964,-77.6139,14.76,86.0,100.0,14.76,PE,1663067553.0
4,port alfred,-33.5906,26.891,20.1,62.0,3.0,20.1,ZA,1663067553.0
5,rikitea,-23.1203,-134.9692,22.26,72.0,93.0,22.26,PF,1663067555.0
6,medea,36.2642,2.7539,35.67,13.0,19.0,35.67,DZ,1663067555.0
7,college,64.8569,-147.8028,6.44,88.0,75.0,6.44,US,1663067556.0
8,attawapiskat,,,,,,,,
9,soyo,-6.1349,12.3689,24.33,76.0,100.0,24.33,AO,1663067557.0
10,commerce,34.0006,-118.1598,23.64,82.0,40.0,23.64,US,1663067558.0
11,carnarvon,-24.8667,113.6333,19.73,53.0,6.0,19.73,AU,1663067559.0
12,jamestown,42.097,-79.2353,12.23,94.0,100.0,12.23,US,1663067559.0
13,omsukchan,62.5333,155.8,0.77,99.0,100.0,0.77,RU,1663067560.0
14,mataura,-46.1927,168.8643,-0.06,98.0,95.0,-0.06,NZ,1663067561.0
15,los llanos de aridane,28.6585,-17.9182,22.86,81.0,20.0,22.86,ES,1663067413.0
16,georgetown,5.4112,100.3354,29.38,75.0,20.0,29.38,MY,1663067442.0
17,pangnirtung,66.1451,-65.7125,11.0,66.0,100.0,11.0,CA,1663067562.0
18,presidencia roque saenz pena,-26.7852,-60.4388,10.4,68.0,0.0,10.4,AR,1663067563.0
19,kaitangata,-46.2817,169.8464,2.2,85.0,87.0,2.2,NZ,1663067565.0
20,airai,-8.9266,125.4092,15.75,86.0,50.0,15.75,TL,1663067565.0
21,kuusamo,65.9667,29.1833,13.02,71.0,0.0,13.02,FI,1663067468.0
22,phan rang,,,,,,,,
23,puerto escondido,15.85,-97.0667,24.46,73.0,75.0,24.46,MX,1663067567.0
24,catuday,16.2923,119.8062,27.06,75.0,99.0,27.06,PH,1663067567.0
25,punta arenas,-53.15,-70.9167,2.06,87.0,40.0,2.06,CL,1663067491.0
26,barrow,71.2906,-156.7887,2.01,93.0,100.0,2.01,US,1663067313.0
27,port hardy,50.6996,-127.4199,13.1,88.0,100.0,13.1,CA,1663067569.0
28,pacific grove,36.6177,-121.9166,16.3,89.0,75.0,16.3,US,1663067569.0
29,ushuaia,-54.8,-68.3,7.81,49.0,75.0,7.81,AR,1663067570.0
30,yellowknife,62.456,-114.3525,5.31,100.0,20.0,5.31,CA,1663067537.0
31,phek,25.6667,94.5,19.18,89.0,70.0,19.18,IN,1663067571.0
32,provideniya,64.3833,-173.3,8.29,93.0,100.0,8.29,RU,1663067572.0
33,mar del plata,-38.0023,-57.5575,10.61,86.0,0.0,10.61,AR,1663067572.0
34,ponta do sol,32.6667,-17.1,25.35,77.0,69.0,25.35,PT,1663067573.0
35,eregli,37.5133,34.0467,26.09,35.0,0.0,26.09,TR,1663067574.0
36,astoria,46.1879,-123.8313,15.39,93.0,100.0,15.39,US,1663067575.0
37,guerrero negro,27.9769,-114.0611,21.77,87.0,0.0,21.77,MX,1663067575.0
38,bluff,-46.6,168.3333,5.11,73.0,96.0,5.11,NZ,1663067575.0
39,new norfolk,-42.7826,147.0587,5.72,73.0,52.0,5.72,AU,1663067577.0
40,goodyear,33.4353,-112.3582,28.52,64.0,75.0,28.52,US,1663067577.0
41,albany,42.6001,-73.9662,20.23,95.0,100.0,20.23,US,1663067578.0
42,hilo,19.7297,-155.09,25.71,91.0,75.0,25.71,US,1663067574.0
43,hobart,-42.8794,147.3294,5.92,88.0,40.0,5.92,AU,1663067306.0
44,tasiilaq,65.6145,-37.6368,5.09,86.0,28.0,5.09,GL,1663067579.0
45,geraldton,-28.7667,114.6,16.23,77.0,40.0,16.23,AU,1663067321.0
46,hasaki,35.7333,140.8333,25.22,91.0,100.0,25.22,JP,1663067291.0
47,tuktoyaktuk,69.4541,-133.0374,1.88,80.0,94.0,1.88,CA,1663067581.0
48,puerto carreno,6.189,-67.4859,23.22,92.0,94.0,23.22,CO,1663067581.0
49,illoqqortoormiut,,,,,,,,
50,nizhneyansk,,,,,,,,
51,qaanaaq,77.484,-69.3632,0.53,81.0,99.0,0.53,GL,1663067582.0
52,mount gambier,-37.8333,140.7667,7.58,75.0,7.0,7.58,AU,1663067583.0
53,bethel,41.3712,-73.414,21.38,89.0,100.0,21.38,US,1663067584.0
54,silvassa,20.2667,73.0167,26.79,90.0,100.0,26.79,IN,1663067585.0
55,callaway,30.153,-85.5699,22.96,91.0,0.0,22.96,US,1663067586.0
56,taolanaro,,,,,,,,
